title	runtime	rating	genre	imdb_url	type	runtime_hours	pixels_cost
Insidious	6180	6.8	Horror, Mystery, Thriller	http://www.imdb.com/title/tt1591095/	movie	1.7166666666666666	93143.08594751603
Samadhi	360	6.6	Animation, Short	http://www.imdb.com/title/tt0062227/	short	0.1	115333.53683438958
Outer and Inner Space	1980	5.2	Short	http://www.imdb.com/title/tt0325944/	short	0.55	111877.7348248106
Madagascar	5160	6.9	Animation, Adventure, Comedy, Family	http://www.imdb.com/title/tt0351283/	movie	1.4333333333333333	106369.64250254953
Lola rennt	4860	7.7	Action, Crime, Thriller	http://www.imdb.com/title/tt0130827/	movie	1.35	166205.49504844114
Ôdishon	6900	7.1	Drama, Horror, Mystery	http://www.imdb.com/title/tt0235198/	movie	1.9166666666666667	103583.00196951488
Stand by Me	5340	8.1	Adventure, Drama	http://www.imdb.com/title/tt0092005/	movie	1.4833333333333334	137716.93086483827
Twin Peaks: Fire Walk with Me	8040	7.2	Drama, Horror, Mystery, Thriller	http://www.imdb.com/title/tt0105665/	movie	2.2333333333333334	58507.74464142629
Logorama	960	7.5	Animation, Short, Action, Comedy, Crime	http://www.imdb.com/title/tt1563725/	short	0.26666666666666666	38229.23167613636
Saw	6180	7.6	Horror, Mystery, Thriller	http://www.imdb.com/title/tt0387564/	movie	1.7166666666666666	77122.2235212704
Primer	4620	6.8	Drama, Sci-Fi, Thriller	http://www.imdb.com/title/tt0390384/	movie	1.2833333333333334	152590.19732754224
Pierrot le fou	6600	7.5	Crime, Drama, Romance	http://www.imdb.com/title/tt0059592/	movie	1.8333333333333333	219271.06278500147
Troy	9780	7.3	Drama, History	http://www.imdb.com/title/tt0332452/	movie	2.716666666666667	138861.6993507794
Das Boot	8940	8.4	Drama, War	http://www.imdb.com/title/tt0082096/	movie	2.4833333333333334	58132.77809039919
Rhythmus 21	180	5.7	Animation, Short	http://www.imdb.com/title/tt0012620/	short	0.05	186763.19976689978
Bike Boy	5760	6.7	Drama	http://www.imdb.com/title/tt0061403/	movie	1.6	97934.5106725306
The Hunchback of Notre Dame	5460	7	Animation, Drama, Family, Musical, Romance	http://www.imdb.com/title/tt0116583/	movie	1.5166666666666666	106783.29879352418
Unknown	6780	6.8	Action, Mystery, Thriller	http://www.imdb.com/title/tt1401152/	movie	1.8833333333333333	110619.42389550553
Machete	6300	6.6	Action, Crime, Thriller	http://www.imdb.com/title/tt0985694/	movie	1.75	126178.09253168707
Atonement	7380	7.8	Drama, Mystery, Romance, War	http://www.imdb.com/title/tt0783233/	movie	2.05	100667.71674861596
Black and White Trypps Number Three	660	7.1	Short, Drama	http://www.imdb.com/title/tt0929859/	short	0.18333333333333332	54132.27974759617
The Thin Red Line	10200	7.6	Drama, History, War	http://www.imdb.com/title/tt0120863/	movie	2.8333333333333335	129447.16016353438
