#title	runtime	rating	genre	image_path	imdb_url	soup_url	type
A Promise	5880	5.7	Drama, Romance	./images/A_Promise_(2013).jpg	http://www.imdb.com/title/tt2191082/	https://moviebarcode.tumblr.com/page/11	movie
All Good Things	6060	6.3	Crime, Drama, Mystery, Romance, Thriller	./images/All_Good_Things_(2010).jpg	http://www.imdb.com/title/tt1175709/	https://moviebarcode.tumblr.com/page/11	movie
Outland	6540	6.6	Action, Crime, Sci-Fi, Thriller, Western	./images/Outland_(1981).jpg	http://www.imdb.com/title/tt0082869/	https://moviebarcode.tumblr.com/page/11	movie
The Three Burials of Melquiades Estrada	7260	7.3	Adventure, Crime, Drama, Mystery, Western	./images/The_Three_Burials_of_Melquiades_Estrada_(2005).jpg	http://www.imdb.com/title/tt0419294/	https://moviebarcode.tumblr.com/page/11	movie
Purple Rain	6660	6.5	Drama, Music, Romance	./images/Purple_Rain_(1984).jpg	http://www.imdb.com/title/tt0087957/	https://moviebarcode.tumblr.com/page/12	movie
The Harvest	6240	6.1	Drama, Mystery, Thriller	./images/The_Harvest_(2013).jpg	http://www.imdb.com/title/tt2543336/	https://moviebarcode.tumblr.com/page/12	movie
Europa '51	7080	7.4	Drama	./images/Europa_‘51_(1952).jpg	http://www.imdb.com/title/tt0043511/	https://moviebarcode.tumblr.com/page/12	movie
The Black Panthers: Vanguard of the Revolution	6900	7.3	Documentary, History	./images/The_Black_Panthers:_Vanguard_of_the_Revolution_(2015).jpg	http://www.imdb.com/title/tt4316236/	https://moviebarcode.tumblr.com/page/12	movie
Still Alice	6060	7.5	Drama	./images/Still_Alice_(2014).jpg	http://www.imdb.com/title/tt3316960/	https://moviebarcode.tumblr.com/page/12	movie
The Mists of Avalon	10980	6.8	Drama, Fantasy	./images/The_Mists_of_Avalon_(2001).jpg	http://www.imdb.com/title/tt0244353/	https://moviebarcode.tumblr.com/page/12	tvMiniSeries
3096 Tage	6660	6.5	Biography, Crime, Drama	./images/3096_Tage__3096_Days_(2013).jpg	http://www.imdb.com/title/tt1667355/	https://moviebarcode.tumblr.com/page/12	movie
Blackbeard's Ghost	6360	6.8	Comedy, Family, Fantasy	./images/Blackbeard’s_Ghost_(1968).jpg	http://www.imdb.com/title/tt0062737/	https://moviebarcode.tumblr.com/page/12	movie
Planet Terror	6300	7.1	Action, Comedy, Horror, Sci-Fi, Thriller	./images/Planet_Terror_(2007).jpg	http://www.imdb.com/title/tt1077258/	https://moviebarcode.tumblr.com/page/12	movie
The Good Dinosaur	5580	6.7	Animation, Adventure, Comedy, Drama, Family	./images/The_Good_Dinosaur_(2015).jpg	http://www.imdb.com/title/tt1979388/	https://moviebarcode.tumblr.com/page/13	movie
WarGames	6840	7.1	Action, Drama, Sci-Fi, Thriller	./images/WarGames_(1983).jpg	http://www.imdb.com/title/tt0086567/	https://moviebarcode.tumblr.com/page/13	movie
